std_smiles,pIC50,n_rep,row_id,cluster,split
C#CC(=O)Nc1ccc(CCCCCC)cc1,4.454692883534176,1,0,77,test
C#CC(=O)Oc1ccc(CCCCCC)cc1,5.207608310501746,1,1,76,test
C/C=C/C(=O)c1ccc(CCCCCCC)cc1,5.119186407719209,1,2,22,train
C=C(C)C(=O)c1ccc(CCCCCCC)cc1,4.634512015109101,1,3,22,train
C=CC(=O)Nc1ccc(CCCCCC)cc1,4.692503962086787,1,4,22,train
C=CC(=O)Oc1ccc(CCC)cc1,4.214670164989233,1,5,75,test
C=CC(=O)Oc1ccc(CCCCC)cc1,4.253365801062421,1,6,22,train
C=CC(=O)Oc1ccccc1CCCCCC,5.086186147616283,1,7,90,test
C=CC(=O)[C@H]1CC[C@H](CC(C)(C)C)CC1,4.1605219526258015,1,8,89,test
C=CC(=O)c1ccc(CC(C)(C)C)cc1,4.361510743045363,1,9,74,test
C=CC(=O)c1ccc(CCC)cc1,4.0,1,10,22,train
C=CC(=O)c1ccc(CCCC)cc1,4.180456064458132,1,11,22,train
C=CC(=O)c1ccc(CCCCC)cc1,4.4698003017969175,1,12,22,train
C=CC(=O)c1ccc(CCCCCC)cc1,5.277197898363202,2,13,22,train
C=CC(=O)c1ccc(CCCCCCC)cc1,4.978810700930062,1,14,22,train
C=CC(=O)c1ccc(CCCCCCCC)cc1,4.943095148663527,1,15,22,train
C=CC(=O)c1ccc(NC(=O)CCC)cc1,4.066006836168758,1,16,88,test
CC(C)C(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br,7.741528239642181,3,17,38,train
CC(C)CCOc1c(Br)cc(CC(=O)O)cc1Br,5.408242634910973,3,18,37,train
CC(C)CCOc1c(Br)cc(CCC(=O)O)cc1Br,5.741575968244306,3,19,50,calibration
CC(C)c1cc(Cn2ccc3c(NC(=O)C(=O)O)cccc32)ccc1O,6.769551078621726,1,20,46,train
CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)cc(C(C)C)c1O,5.867176275319816,4,21,73,test
CC(C)c1cc(Oc2c(Br)cc(C(=O)O)cc2Br)ccc1O,8.679301275101821,3,22,3,train
CC(C)c1cc(Oc2c(Br)cc(CC(=O)NCC(=O)O)cc2Br)ccc1O,8.568636235841012,1,23,3,train
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@@H](C(=O)O)C(C)C)cc2Br)ccc1O,9.148741651280924,1,24,3,train
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@@H](C(=O)O)c3ccccc3)cc2Br)ccc1O,9.221848749616356,1,25,3,train
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@@H](C)C(=O)O)cc2Br)ccc1O,8.886056647693163,1,26,3,train
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@@H](CC(=O)O)C(=O)O)cc2Br)ccc1O,6.537602002101044,1,27,3,train
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@H](C(=O)O)C(C)C)cc2Br)cc(Cl)c1O,5.853871964321762,1,28,43,train
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@H](C(=O)O)C(C)C)cc2Br)cc(F)c1O,7.920818753952375,1,29,43,train
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@H](C(=O)O)C(C)C)cc2Br)ccc1O,9.568636235841012,1,30,3,train
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@H](C(=O)O)c3ccccc3)cc2Br)ccc1O,9.10790539730952,1,31,3,train
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@H](C)C(=O)O)cc2Br)ccc1O,8.229147988357855,1,32,3,train
CC(C)c1cc(Oc2c(Br)cc(CC(=O)N[C@H](CC(=O)O)C(=O)O)cc2Br)ccc1O,7.585026652029182,1,33,3,train
CC(C)c1cc(Oc2c(Br)cc(CC(=O)O)cc2Br)ccc1O,10.021136511563704,4,34,3,train
CC(C)c1cc(Oc2c(Br)cc(CCC(=O)O)cc2Br)cc(/C=C/c2ccncc2)c1O,7.657577319177793,1,35,87,test
CC(C)c1cc(Oc2c(Br)cc(CCC(=O)O)cc2Br)ccc1O,10.600673573732548,3,36,3,train
CC(C)c1cc(Oc2c(Br)cc3[nH]c(C(=O)O)cc3c2Br)ccc1O,9.55145048994222,2,37,63,test
CC(C)c1cc(Oc2c(Br)cc3c(c2Br)CC(C(=O)O)C3)ccc1O,8.070581074285707,1,38,72,calibration
CC(C)c1cc(Oc2c(Br)cc3c(c2Br)CC(C(=O)O)N3)ccc1O,8.070019409484486,1,39,72,calibration
CC(C)c1cc(Oc2c(Br)cc3nc(C(=O)O)cc(O)c3c2Br)ccc1O,7.291198562418154,2,40,71,test
CC(C)c1cc(Oc2c(Cl)cc(C(=O)O)cc2Cl)ccc1O,7.679301275101821,3,41,42,train
CC(C)c1cc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)ccc1O,8.959240167245724,5,42,2,train
CC(C)c1cc(Oc2c(Cl)cc(CCC(=O)O)cc2Cl)ccc1O,9.821218996872071,3,43,42,train
CC(C)c1cc(Oc2c(Cl)cc3[nH]c(C(=O)O)cc(=O)c3c2Cl)ccc1O,6.940177436108664,2,44,42,train
CC(C)c1cc(Oc2c(Cl)cc3[nH]c(C(=O)O)cc3c2Cl)ccc1O,10.22090981113951,2,45,42,train
CC(C)c1cc(Oc2c(I)cc(CC(N)C(=O)O)cc2I)ccc1O,9.96018944585165,1,46,34,train
CC(C)c1cc(Oc2c(I)cc(C[C@@H](N)C(=O)O)cc2I)ccc1O,9.959398380346713,2,47,34,train
CC(C)c1cccc(-c2cc(Oc3c(Cl)cc(CC(=O)O)cc3Cl)ccc2O)c1,8.400007822415901,2,48,2,train
CC(C)c1cccc(-c2nn3c(c2-c2ccnc4ccccc24)CCC3)n1,5.886056647693163,1,49,30,train
CC1(C)C2CCC(NC(=O)c3cc(Oc4c(Cl)cc(-n5ncc(=O)[nH]c5=O)cc4Cl)ccc3O)C1C2,9.8649495275199,2,50,51,calibration
CC1(C)C2CCC1(C)[C@H](NC(=O)c1cc(Oc3c(Cl)cc(-n4ncc(=O)[nH]c4=O)cc3Cl)ccc1O)C2,8.99012436628784,1,51,51,calibration
CC1CCN(C(=O)CNC(=O)c2ccc(S(C)(=O)=O)c([N+](=O)[O-])c2)CC1,4.42021640338319,1,52,68,calibration
CCC(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br,6.85129835044627,3,53,38,train
CCC(C)C(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br,8.368255346653502,2,54,38,train
CCC(CC)C(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br,7.798607161412178,3,55,38,train
CCC(CC)COc1c(Br)cc(CC(=O)O)cc1Br,6.112952510671715,4,56,37,train
CCC(CC)COc1c(Br)cc(CCC(=O)O)cc1Br,6.090505177564462,3,57,50,calibration
CCC1CC(O)C(C)CN1C(=O)c1cc(OC)c2oc(NCc3cccc(Cl)c3)nc2c1,7.886056647693163,1,58,1,train
CCCC(=O)Nc1cccc2c1CCCC2,4.156144577376839,1,59,86,test
CCCC(C)C(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br,7.329322467415757,3,60,38,train
CCCC(CCC)C(=O)Nc1ccc(Oc2c(Cl)cc(CC(=O)O)cc2Cl)cc1Br,7.34891852709366,3,61,38,train
CCCCCC(=O)Nc1ccc(C(=O)CCN(C)C)cc1,4.906578314837765,1,62,49,test
CCCCCCCc1ccc(C(=O)CCN(C)C)cc1,5.017728766960431,1,63,0,train
CCCCCCNC(=O)c1ccc(C(=O)CCN(C)C)cc1,5.09151498112135,1,64,0,train
CCCCCCOc1c(Br)cc(CC(=O)O)cc1Br,5.890204867598513,4,65,37,train
CCCCCCOc1c(Br)cc(CCC(=O)O)cc1Br,6.330923211421495,4,66,37,train
CCCCCCOc1c(C)cc(C(=O)CCN(C)C)cc1C,5.301029995663981,1,67,0,train
CCCCCCOc1cc(C(C)C)c(C(=O)CCN(C)C)cc1C,5.747146969020107,1,68,70,test
CCCCCCOc1cc(C)c(C(=O)CCN(C)C)c(C)c1,6.154901959985743,1,69,0,train
CCCCCCOc1cc(C)c(C(=O)CCN2CC2C)c(C)c1,5.187086643357144,1,70,26,test
CCCCCCOc1cc(C)c(C(=O)CCN2CCN(C(C)=O)CC2)c(C)c1,5.721246399047171,1,71,19,calibration
CCCCCCOc1cc(C)c(C(=O)CCN2CCN(S(=O)(=O)CC)CC2)c(C)c1,5.3979400086720375,1,72,20,train
CCCCCCOc1cc(C)c(C(=O)CCN2CCNC(=O)C2)c(C)c1,4.723538195826756,1,73,21,test
CCCCCCOc1cc(C)c(C(=O)CCN2CCOCC2)c(C)c1,5.698970004336019,1,74,9,train
CCCCCCOc1cc(Cl)c(C(=O)CCN(C)C)c(Cl)c1,6.161150909262744,1,75,0,train
CCCCCCOc1cc(Cl)c(C(=O)CCN(C)C)cc1Cl,6.221848749616356,1,76,25,test
CCCCCCOc1cc(Cl)c(C(=O)CCN2CC2C)c(Cl)c1,5.327902142064282,1,77,12,train
CCCCCCOc1cc(Cl)c(C(=O)CCN2CC2C)cc1Cl,5.301029995663981,1,78,12,train
CCCCCCOc1cc(Cl)c(C(=O)CCN2CCN(C(C)=O)CC2)c(Cl)c1,6.221848749616356,1,79,20,train
CCCCCCOc1cc(Cl)c(C(=O)CCN2CCN(C(C)=O)CC2)cc1Cl,6.096910013008056,1,80,10,train
CCCCCCOc1cc(Cl)c(C(=O)CCN2CCN(S(=O)(=O)CC)CC2)c(Cl)c1,6.096910013008056,1,81,20,train
CCCCCCOc1cc(Cl)c(C(=O)CCN2CCN(S(=O)(=O)CC)CC2)cc1Cl,5.769551078621726,1,82,6,train
CCCCCCOc1cc(Cl)c(C(=O)CCN2CCNC(=O)C2)c(Cl)c1,5.823908740944319,1,83,5,train
CCCCCCOc1cc(Cl)c(C(=O)CCN2CCNC(=O)C2)cc1Cl,5.698970004336019,1,84,5,train
